iter	Passed	Remaining
0	9	9983
1	17	8535
2	25	8562
3	33	8264
4	40	8134
5	49	8244
6	58	8263
7	66	8299
8	74	8194
9	83	8228
10	91	8192
11	99	8188
12	105	8028
13	113	7973
14	120	7942
15	127	7833
16	134	7804
17	142	7774
18	149	7723
19	157	7713
20	164	7680
21	172	7652
22	179	7620
23	184	7518
24	193	7540
25	200	7502
26	206	7454
27	214	7430
28	222	7440
29	230	7442
30	236	7401
31	243	7364
32	252	7387
33	257	7315
34	265	7315
35	272	7298
36	280	7313
37	287	7289
38	292	7203
39	298	7173
40	306	7179
41	311	7097
42	318	7088
43	326	7091
44	331	7045
45	338	7028
46	345	7004
47	353	7015
48	357	6939
49	365	6946
50	372	6923
51	379	6913
52	386	6900
53	393	6885
54	400	6877
55	407	6861
56	413	6846
57	420	6830
58	427	6818
59	432	6779
60	438	6757
61	445	6742
62	451	6708
63	458	6708
64	466	6714
65	475	6730
66	483	6733
67	493	6760
68	501	6760
69	504	6707
70	512	6706
71	520	6708
72	527	6692
73	530	6643
74	535	6602
75	542	6593
76	545	6541
77	553	6539
78	559	6525
79	567	6526
80	574	6518
81	581	6509
82	587	6486
83	594	6485
84	602	6480
85	609	6475
86	615	6459
87	623	6465
88	630	6456
89	637	6444
90	644	6438
91	652	6436
92	660	6440
93	666	6427
94	673	6420
95	681	6417
96	688	6411
97	696	6406
98	700	6375
99	707	6368
100	715	6364
101	722	6361
102	729	6355
103	735	6334
104	741	6323
105	748	6309
106	753	6286
107	758	6263
108	762	6233
109	770	6233
110	777	6230
111	785	6226
112	792	6223
113	800	6223
114	809	6227
115	814	6207
116	819	6184
117	826	6181
118	835	6185
119	841	6170
120	854	6204
121	862	6207
122	871	6215
123	880	6217
124	884	6191
125	892	6190
126	900	6188
127	908	6185
128	917	6194
129	924	6189
130	929	6166
131	936	6160
132	944	6156
133	952	6157
134	960	6154
135	967	6144
136	974	6136
137	979	6115
138	986	6107
139	993	6105
140	997	6079
141	1001	6053
142	1010	6056
143	1014	6031
144	1021	6024
145	1028	6015
146	1035	6010
147	1043	6005
148	1048	5986
149	1055	5981
150	1062	5974
151	1067	5954
152	1071	5929
153	1075	5906
154	1082	5902
155	1090	5899
156	1097	5894
157	1106	5895
158	1113	5888
