iter	Passed	Remaining
0	67	67377
1	76	38382
2	85	28406
3	93	23260
4	100	19958
5	108	17974
6	116	16455
7	124	15379
8	133	14709
9	140	13951
10	147	13291
11	155	12820
12	162	12366
13	170	12018
14	178	11720
15	188	11575
16	194	11247
17	201	10991
18	206	10667
19	211	10350
20	219	10247
21	223	9947
22	231	9817
23	239	9746
24	247	9651
25	255	9558
26	259	9335
27	267	9275
28	275	9214
29	281	9093
30	289	9038
31	297	9003
32	305	8962
33	314	8942
34	323	8926
35	332	8908
36	341	8879
37	349	8835
38	357	8799
39	365	8768
40	373	8735
41	381	8692
42	388	8646
43	396	8611
44	401	8527
45	410	8507
46	417	8461
47	425	8432
48	432	8396
49	441	8391
50	449	8372
51	458	8353
52	464	8293
53	470	8241
54	477	8205
55	481	8120
56	489	8096
57	496	8069
58	504	8048
59	512	8022
60	518	7988
61	526	7962
62	533	7927
63	541	7914
64	548	7893
65	552	7822
66	555	7736
67	563	7716
68	570	7694
69	577	7674
70	583	7633
71	590	7616
72	598	7599
73	605	7577
74	612	7554
75	619	7536
76	629	7545
77	635	7509
78	642	7488
79	649	7474
80	658	7471
81	666	7466
82	675	7463
83	682	7437
84	689	7419
85	697	7412
86	703	7381
87	710	7362
88	714	7311
89	720	7287
90	728	7274
91	733	7242
92	740	7223
93	748	7212
94	756	7203
95	764	7197
96	771	7184
97	777	7155
98	785	7152
99	792	7133
100	799	7119
101	808	7118
102	816	7109
103	823	7098
104	828	7059
105	836	7051
106	844	7050
107	852	7044
108	861	7040
109	868	7030
110	873	6993
111	884	7009
112	891	7000
113	899	6989
114	908	6989
115	915	6980
116	923	6973
117	932	6966
118	935	6924
119	942	6908
120	951	6908
121	958	6897
122	966	6890
123	973	6878
124	981	6869
125	989	6862
126	997	6858
127	1005	6847
128	1011	6832
129	1017	6807
130	1025	6800
131	1032	6791
132	1040	6780
133	1047	6772
134	1055	6764
135	1061	6743
136	1067	6726
137	1072	6699
138	1079	6689
139	1088	6684
140	1096	6681
141	1103	6670
142	1112	6668
143	1121	6666
144	1130	6667
145	1144	6693
146	1153	6693
147	1158	6670
148	1167	6670
149	1175	6662
150	1183	6655
151	1188	6632
152	1203	6663
153	1290	7087
154	1299	7082
155	1304	7057
156	1326	7125
157	1334	7113
158	1342	7098
159	1350	7089
160	1357	7074
161	1365	7062
162	1372	7048
163	1376	7018
164	1385	7012
165	1393	7000
166	1401	6992
167	1410	6984
168	1413	6949
169	1417	6922
170	1423	6900
171	1431	6891
172	1435	6861
173	1439	6834
174	1443	6804
175	1451	6793
176	1458	6782
177	1466	6770
178	1470	6743
179	1483	6757
180	1493	6758
181	1502	6751
182	1510	6743
183	1518	6735
184	1522	6708
185	1530	6698
186	1538	6688
187	1546	6680
188	1555	6674
189	1563	6667
190	1569	6647
191	1577	6639
192	1587	6636
193	1594	6626
194	1601	6613
195	1610	6606
196	1616	6590
197	1624	6579
198	1632	6573
199	1641	6566
200	1648	6553
201	1657	6546
202	1665	6539
203	1674	6533
204	1681	6519
205	1688	6507
206	1695	6495
207	1701	6480
208	1707	6460
209	1715	6454
210	1722	6441
211	1730	6433
212	1737	6420
213	1745	6410
214	1753	6401
215	1760	6391
216	1768	6382
217	1776	6373
218	1779	6347
219	1782	6320
220	1790	6312
221	1798	6303
222	1806	6293
223	1814	6287
224	1822	6278
225	1830	6269
226	1837	6258
227	1845	6247
228	1854	6244
229	1862	6234
230	1870	6225
231	1873	6202
232	1879	6186
233	1885	6170
234	1893	6164
235	1902	6157
236	1910	6151
237	1917	6139
238	1921	6119
239	1930	6114
240	1939	6106
241	1947	6099
242	1953	6085
243	1960	6074
244	1968	6065
245	1972	6047
246	1979	6035
247	1984	6017
248	1988	5998
249	1993	5979
250	1999	5967
251	2009	5963
252	2017	5957
253	2025	5949
254	2034	5944
255	2042	5936
256	2050	5927
257	2053	5907
258	2058	5889
259	2067	5884
260	2072	5866
261	2079	5858
262	2083	5837
263	2090	5828
264	2095	5813
265	2103	5803
266	2109	5790
267	2116	5782
268	2125	5774
269	2130	5760
270	2138	5751
271	2145	5741
272	2153	5735
273	2159	5721
274	2166	5712
275	2174	5704
276	2178	5685
277	2185	5674
278	2192	5665
279	2197	5649
280	2204	5640
281	2209	5625
282	2217	5617
283	2220	5596
284	2226	5586
285	2230	5569
286	2238	5560
287	2245	5551
288	2250	5535
289	2257	5528
290	2265	5520
291	2275	5516
292	2279	5499
293	2287	5493
294	2297	5491
295	2305	5484
296	2314	5479
297	2318	5462
298	2322	5444
299	2328	5433
300	2336	5427
301	2341	5412
302	2348	5403
303	2356	5395
304	2363	5384
305	2369	5373
306	2377	5366
307	2383	5354
308	2390	5346
309	2398	5337
310	2405	5329
311	2410	5315
312	2418	5309
313	2425	5298
314	2430	5285
315	2439	5279
316	2441	5260
317	2448	5251
318	2456	5243
319	2459	5226
320	2463	5210
321	2470	5201
322	2477	5193
323	2483	5181
324	2491	5174
325	2499	5166
326	2507	5159
327	2513	5150
328	2520	5140
329	2527	5132
330	2534	5123
331	2542	5115
332	2546	5100
333	2549	5083
334	2556	5075
335	2565	5069
336	2570	5056
337	2578	5051
338	2586	5043
339	2594	5035
340	2600	5025
341	2608	5018
342	2615	5010
343	2623	5002
344	2634	5001
345	2642	4994
346	2650	4987
347	2653	4972
348	2661	4963
349	2663	4947
350	2671	4940
351	2679	4932
352	2687	4925
353	2689	4908
354	2697	4901
355	2706	4895
356	2713	4887
357	2721	4881
358	2729	4874
359	2734	4861
